Tester,Gender,Score,Class,Age,BMI
8,M,2772,2,19,24.6
9,M,8987,3,19,24.6
10,M,132,1,19,24.6
11,M,2034,2,19,24.6
12,F,132,1,19,23.9
13,M,3573,3,19,24.6
14,M,975,2,19,24.6
15,M,3066,3,19,24.6
16,M,3360,2,19,24.6
18,M,537,1,19,24.6
20,M,2628,2,19,24.6
21,M,1897,2,19,24.6
22,M,99,1,19,24.6
23,M,990,2,19,24.6
24,M,1204,2,19,24.6
25,M,200,1,19,24.6
26,M,1129,2,19,24.6
27,F,434,1,19,23.9
28,M,2772,2,19,24.6
29,M,2772,2,19,24.6
30,F,347,1,19,23.9
31,M,716,2,19,24.6
32,M,2856,2,19,24.6
33,M,0,1,19,24.6
34,M,693,2,19,24.6
35,F,420,1,19,23.9
36,M,1524,2,19,24.6
37,M,792,1,19,24.6
38,M,83,1,19,24.6
39,M,2274,2,19,24.6
41,M,975,2,29,24.6
42,M,0,1,25,24.6
43,F,942,2,24,23.9
44,F,1158,2,24,23.9
45,M,4293,3,24,24.6
47,M,420,1,23,25.6
48,M,420,1,25,22.4
49,M,252,1,24,22.4
50,M,5013,3,24,22.4
51,M,5013,3,20,24.6
52,F,2358,2,21,23.9
53,F,33,1,22,23.9
54,F,2346,2,19,23.9
55,M,1431,2,23,24.6
56,F,3972,3,20,23.9
57,M,2079,2,24,24.6
58,M,777,1,22,24.6
59,M,0,1,29,24.6
60,M,318,1,27,24.6
61,M,4053,3,23,24.6
62,M,1824,2,22,24.6
63,M,2984,3,22,24.6
64,M,2853,3,19,24.6
65,M,5916,3,23,24.6
66,M,1013,2,32,24.6
67,F,1686,2,24,23.9
68,M,3093,3,23,24.6
69,F,3546,3,26,16.7
70,M,2906,3,24,24.6
71,M,3816,3,26,24.6
72,M,973,2,24,24.6
73,M,66,1,21,24.6
74,M,9393,3,25,24.6
75,M,822,2,27,24.6
76,M,2093,3,23,24.6
77,M,3947,3,24,24.6
78,M,132,1,23,24.6
79,M,1662,3,25,25.2
80,M,651,2,25,22.4
81,M,998,2,19,22.4
82,F,1488,2,27,21.4
83,M,0,1,24,21.4
84,F,0,1,25,24.6
